year    denmark netherlands canada  usa
    1950   0.512   0.516 . .
    1951  0.5174  0.5158 . .
    1952  0.5151  0.5158 . .
    1953  0.5175  0.5156 . .
    1954  0.5148  0.5157 . .
    1955  0.5169   0.513 . .
    1956  0.5153   0.515 . .
    1957  0.5161  0.5147 . .
    1958   0.515  0.5139 . .
    1959  0.5139  0.5125 . .
    1960  0.5121  0.5135 . .
    1961  0.5125  0.5122 . .
    1962  0.5122  0.5121 . .
    1963  0.5132  0.5141 . .
    1964   0.516  0.5143 . .
    1965  0.5148  0.5141 . .
    1966  0.5142  0.5129 . .
    1967  0.5135  0.5135 . .
    1968  0.5164  0.5116 . .
    1969  0.5171  0.5135 . .
    1970   0.514   0.512  0.5147  0.5134
    1971   0.517  0.5134  0.5153  0.5126
    1972  0.5126  0.5112  0.5148  0.5125
    1973  0.5133  0.5115  0.5149  0.5128
    1974  0.5127  0.5132  0.5141  0.5133
    1975  0.5108  0.5122  0.5136  0.5132
    1976  0.5169  0.5148  0.5135  0.5128
    1977  0.5144  0.5135  0.5145  0.5128
    1978   0.514  0.5126  0.5124  0.5129
    1979  0.5141  0.5123  0.5146  0.5127
    1980  0.5125  0.5128  0.5136  0.5129
    1981  0.5108  0.5107  0.5133  0.5126
    1982  0.5141  0.5128  0.5128  0.5123
    1983  0.5117  0.5113  0.5145  0.5127
    1984  0.5132  0.5132  0.5137  0.5122
    1985  0.5111  0.5111  0.5144  0.5126
    1986  0.5142  0.5087  0.5123  0.5122
    1987  0.5173  0.5136   0.512   0.512
    1988  0.5155  0.5117  0.5122  0.5121
    1989  0.5132  0.5096  0.5123   0.512
    1990  0.5145  0.5132  0.5136   0.512
    1991  0.5131  0.5114 . .
    1992  0.5143  0.5129 . .
    1993   0.514  0.5116 . .
    1994  0.5116  0.5128 . .




