fill machine  rep age
31.86 1 1 6
32.2 1 2 6
32.07 1 3 6
32.18 1 4 6
32.38 1 5 6
32.1 1 6 6
31.96 1 7 6
31.73 1 8 6
32.27 1 9 6
31.79 1 10 6
32.39 1 11 6
31.93 1 12 6
31.98 1 13 6
32.28 1 14 6
32.09 1 15 6
32.13 1 16 6
32.26 1 17 6
32.07 1 18 6
31.99 1 19 6
31.81 1 20 6
32.46 2 1 24
32.11 2 2 24
32.12 2 3 24
32.47 2 4 24
32.24 2 5 24
32.06 2 6 24
31.88 2 7 24
32.33 2 8 24
32.06 2 9 24
31.97 2 10 24
32.05 2 11 24
32.53 2 12 24
32.42 2 13 24
32.29 2 14 24
32.36 2 15 24
32.04 2 16 24
32.17 2 17 24
32.02 2 18 24
32.11 2 19 24
32.12 2 20 24
32.21 3 1 48
32.78 3 2 48
32.32 3 3 48
32.45 3 4 48
32.22 3 5 48
32.35 3 6 48
32.54 3 7 48
32.24 3 8 48
32.47 3 9 48
32.62 3 10 48
32.47 3 11 48
32.55 3 12 48
32.59 3 13 48
32.71 3 14 48
32.45 3 15 48
32.48 3 16 48
32.44 3 17 48
32.5 3 18 48
32.2 3 19 48
32.61 3 20 48
32.49 4 1 36
32.58 4 2 36
32.52 4 3 36
32.29 4 4 36
32.27 4 5 36
32.55 4 6 36
32.4 4 7 36
32.14 4 8 36
32.48 4 9 36
32.34 4 10 36
32.01 4 11 36
32.33 4 12 36
32.18 4 13 36
32.13 4 14 36
32.48 4 15 36
32.54 4 16 36
32.51 4 17 36
32.42 4 18 36
32.45 4 19 36
32.2 4 20 36
31.81 5 1 12
32.27 5 2 12
32.06 5 3 12
32.11 5 4 12
32.23 5 5 12
32.15 5 6 12
32.01 5 7 12
32.22 5 8 12
32.29 5 9 12
32.14 5 10 12
32.2 5 11 12
32.3 5 12 12
31.89 5 13 12
32.27 5 14 12
31.8 5 15 12
32.24 5 16 12
32.2 5 17 12
32.14 5 18 12
32.35 5 19 12
31.82 5 20 12
32.05 6 1 15
31.95 6 2 15
32.28 6 3 15
32.47 6 4 15
32.12 6 5 15
32.27 6 6 15
32.08 6 7 15
32.17 6 8 15
32.43 6 9 15
31.93 6 10 15
32.2 6 11 15
32.01 6 12 15
32.1 6 13 15
32.16 6 14 15
31.94 6 15 15
32.13 6 16 15
32.43 6 17 15
32.35 6 18 15
31.91 6 19 15
32.05 6 20 15
