method class tutor perform
A 1 Y 3.1564598102
A 1 Y 5.1585884682
A 1 Y 3.509803209
A 1 Y 5.2245989652
A 1 Y 4.2846594316
A 1 Y 5.1444356124
A 1 Y 6.2679716346
A 1 Y 4.4324722768
A 1 Y 2.0268982171
A 1 Y 2.6346779461
A 1 N 2.2921230051
A 1 N 2.2599706347
A 1 N 0.070321134
A 1 N 0.9444915693
A 1 N 1.3817051778
A 1 N -0.138037543
A 1 N 2.4962432615
A 1 N -0.889839062
A 1 N 0.3268494028
A 1 N 0.1400445731
A 2 Y 5.8400254664
A 2 Y 5.3004885264
A 2 Y 6.4164020113
A 2 Y 7.3435986464
A 2 Y 6.8055520771
A 2 Y 4.383285619
A 2 Y 4.5757132368
A 2 Y 3.743551124
A 2 Y 7.1001720899
A 2 Y 4.9331116334
A 2 N 6.3785977657
A 2 N 1.9697080185
A 2 N 1.1899245024
A 2 N 3.4298024539
A 2 N 2.9863744295
A 2 N 3.4018334524
A 2 N 3.6752635212
A 2 N 2.449363636
A 2 N 2.8228433396
A 2 N 4.2002918632
A 3 Y 3.5063478419
A 3 Y 6.254940547
A 3 Y 6.8373936222
A 3 Y 4.327729195
A 3 Y 4.7890539513
A 3 Y 6.6271481574
A 3 Y 6.3536105659
A 3 Y 6.0912323431
A 3 Y 5.8629802085
A 3 Y 5.620996928
A 3 N 3.3710801049
A 3 N 1.2276142991
A 3 N 2.3998484869
A 3 N 1.1549046827
A 3 N 2.6760064856
A 3 N 2.9342133405
A 3 N 4.1168575481
A 3 N 1.0703639629
A 3 N 2.2885792597
A 3 N 2.8769058967
A 4 Y 4.7644752341
A 4 Y 2.542668842
A 4 Y 3.5054577677
A 4 Y 4.3091689097
A 4 Y 3.0701619835
A 4 Y 3.2329957971
A 4 Y 4.1459858976
A 4 Y 5.0035656481
A 4 Y 3.5632957815
A 4 Y 2.9037873345
A 4 N 1.7858568016
A 4 N 2.3735115094
A 4 N 2.92216312
A 4 N 1.3111820089
A 4 N 3.2683238618
A 4 N 1.8533297111
A 4 N 1.2756252859
A 4 N 1.0008749521
A 4 N 2.1538911863
A 4 N 1.1624173463
A 5 Y 5.5231540068
A 5 Y 5.4477548138
A 5 Y 3.8527818024
A 5 Y 5.8092131949
A 5 Y 5.9934666
A 5 Y 3.6244081472
A 5 Y 3.5842143588
A 5 Y 5.0407914063
A 5 Y 4.1676345478
A 5 Y 5.8264749344
A 5 N 0.5589321556
A 5 N 1.9896709212
A 5 N 1.3299786602
A 5 N 1.2685747969
A 5 N 2.1041491823
A 5 N 1.2623285707
A 5 N 0.7873974943
A 5 N 2.0741196714
A 5 N 1.548226491
A 5 N 1.5202073565
B 1 Y 2.176523578
B 1 Y 0.5499159093
B 1 Y 2.967123297
B 1 Y 2.523212386
B 1 Y -0.697377769
B 1 Y 0.2505814812
B 1 Y 1.6873783328
B 1 Y -1.068262922
B 1 Y 2.6522784342
B 1 Y 1.5864949482
B 1 N 0.1917280741
B 1 N 0.4734061387
B 1 N -0.068213816
B 1 N -0.324503459
B 1 N 0.2070197376
B 1 N 0.822583566
B 1 N -0.725782615
B 1 N 0.6828256884
B 1 N -0.266828703
B 1 N 0.4062406149
B 2 Y 2.2909260125
B 2 Y 2.660046107
B 2 Y 0.8317295304
B 2 Y 0.9621646903
B 2 Y 0.1747618412
B 2 Y 2.6674280257
B 2 Y 2.3598629491
B 2 Y 3.2094033888
B 2 Y 2.369585035
B 2 Y 1.7211048021
B 2 N 0.5880517321
B 2 N -1.169041259
B 2 N 2.0975087789
B 2 N -1.233142467
B 2 N 0.4860171942
B 2 N 1.2563768643
B 2 N 1.4286195118
B 2 N -0.346043621
B 2 N 0.4926046415
B 2 N -0.214238409
B 3 Y -0.307865833
B 3 Y 3.6358726809
B 3 Y 0.6915471234
B 3 Y 1.8393505333
B 3 Y 1.8072437404
B 3 Y 2.1710010541
B 3 Y 1.5025984532
B 3 Y 1.2041428865
B 3 Y 1.9804032717
B 3 Y 2.2580765702
B 3 N -1.112699843
B 3 N -0.85394011
B 3 N 0.1210459757
B 3 N -1.232025
B 3 N -1.19375748
B 3 N -1.295712376
B 3 N -2.44616367
B 3 N -0.129208768
B 3 N -1.102850332
B 3 N 1.5049755622
B 4 Y 1.2950241112
B 4 Y 2.5699495009
B 4 Y 2.9257147139
B 4 Y 1.5207730175
B 4 Y -0.111411261
B 4 Y 1.9717541527
B 4 Y 1.3141851463
B 4 Y 3.0451173026
B 4 Y 2.1565871743
B 4 Y 1.734675044
B 4 N -0.672304981
B 4 N -2.372933411
B 4 N 0.3230396421
B 4 N -1.063741314
B 4 N 0.4733730229
B 4 N -1.213202669
B 4 N -1.571112146
B 4 N 0.1110027055
B 4 N 0.168065624
B 4 N -1.060285119
B 5 Y 2.3330022263
B 5 Y 5.2677509457
B 5 Y 4.1358607601
B 5 Y 3.1653666831
B 5 Y 1.7333026812
B 5 Y 3.2795509645
B 5 Y 1.6393447207
B 5 Y 2.8846891645
B 5 Y 3.5520037
B 5 Y 2.8593562252
B 5 N 1.362627788
B 5 N 0.6625366387
B 5 N 0.6282046226
B 5 N 1.9713340736
B 5 N 0.0483232744
B 5 N 1.7859820869
B 5 N 0.3305152005
B 5 N -0.256389812
B 5 N 1.694988274
B 5 N -0.687796359
