type amount a1 a2 a3 b1 b2 b3
1 164        1  0  0  1  0  0
1 172        1  0  0  1  0  0
1 168        1  0  0  1  0  0
1 177        1  0  0  1  0  0
1 156        1  0  0  1  0  0
1 195        1  0  0  1  0  0

2 178        0  1  0  0  1  0
2 191        0  1  0  0  1  0
2 197        0  1  0  0  1  0
2 182        0  1  0  0  1  0
2 185        0  1  0  0  1  0
2 177        0  1  0  0  1  0

3 175        0  0  1  0  0  1  
3 193        0  0  1  0  0  1
3 178        0  0  1  0  0  1
3 171        0  0  1  0  0  1
3 163        0  0  1  0  0  1
3 176        0  0  1  0  0  1

4 155        0  0  0 -1 -1 -1
4 166        0  0  0 -1 -1 -1
4 149        0  0  0 -1 -1 -1
4 164        0  0  0 -1 -1 -1
4 170        0  0  0 -1 -1 -1
4 168        0  0  0 -1 -1 -1
