marker pvalue
1 0.00137
2 0.00352
3 0.002
4 0.00467
5 0.00182
6 0.0032
7 0.00004
8 0.00409
9 0.00026
10 0.0047
11 0.28026
12 0.08071
13 0.83941
14 0.16176
15 0.37757
16 0.81847
17 0.0166
18 0.86765
19 0.10759
20 0.88334
21 0.91374
22 0.69865
23 0.74877
24 0.00954
25 0.19223
26 0.17071
27 0.95338
28 0.89845
29 0.80542
30 0.81342
31 0.51573
32 0.14414
33 0.91363
34 0.9419
35 0.80978
36 0.69399
37 0.28962
38 0.78879
39 0.79997
40 0.27585
41 0.90702
42 0.56015
43 0.22369
44 0.96536
45 0.3159
46 0.03979
47 0.22601
48 0.26931
49 0.15666
50 0.6915
51 0.61915
52 0.39949
53 0.85611
54 0.97924
55 0.40704
56 0.20359
57 0.80249
58 0.73958
59 0.18342
60 0.70758
61 0.11865
62 0.07828
63 0.00786
64 0.02681
65 0.23528
66 0.8645
67 0.79231
68 0.76406
69 0.61035
70 0.48503
71 0.08131
72 0.50619
73 0.00864
74 0.62088
75 0.13835
76 0.75194
77 0.166
78 0.60828
79 0.2626
80 0.89035
81 0.32831
82 0.8418
83 0.56028
84 0.70627
85 0.5673
86 0.8076
87 0.92104
88 0.99544
89 0.54127
90 0.49935
91 0.2042
92 0.60899
93 0.1759
94 0.71982
95 0.23931
96 0.16031
97 0.16126
98 0.56431
99 0.54006
100 0.73311
