marker pvalue
1 0.43384
2 0.89512
3 0.27016
4 0.30659
5 0.82299
6 0.8398
7 0.94845
8 0.4385
9 0.24128
10 0.72421
11 0.88199
12 0.82829
13 0.19389
14 0.11294
15 0.50185
16 0.49878
17 0.19919
18 0.9845
19 0.58782
20 0.24758
21 0.73738
22 0.73439
23 0.35653
24 0.30466
25 0.82067
26 0.70237
27 0.59168
28 0.05358
29 0.50487
30 0.16681
31 0.46556
32 0.29176
33 0.48451
34 0.47552
35 0.78517
36 0.70522
37 0.84186
38 0.14159
39 0.73142
40 0.83717
41 0.16073
42 0.8764
43 0.55034
44 0.4463
45 0.99988
46 0.72979
47 0.95015
48 0.87807
49 0.65814
50 0.12716
51 0.60238
52 0.29679
53 0.55607
54 0.67031
55 0.16714
56 0.56276
57 0.41783
58 0.61458
59 0.93891
60 0.20483
61 0.56116
62 0.07198
63 0.23487
64 0.05131
65 0.63196
66 0.24304
67 0.80629
68 0.27827
69 0.8358
70 0.56312
71 0.14931
72 0.71202
73 0.46123
74 0.68609
75 0.37474
76 0.12632
77 0.92239
78 0.85424
79 0.4219
80 0.2117
81 0.90144
82 0.38663
83 0.03225
84 0.39114
85 0.74501
86 0.81184
87 0.4235
88 0.49363
89 0.7035
90 0.09263
91 0.33638
92 0.94176
93 0.66637
94 0.89057
95 0.53934
96 0.0455
97 0.63462
98 0.65978
99 0.22712
100 0.70904
