group Hg
ag 0.159
ag 0.334
ag 0.207
ag 1.803
ag 0.633
ag 0.466
ag 0.393
ag 0.645
ag 0.268
ag 0.236
ag 0.333
ag 0.29
ag 0.288
ag 0.271
ag 0.18
ag 0.138
ag 0.117
ag 0.271
ag 0.135
ag 0.128
ag 0.198
ag 0.205
ag 0.359
ag 0.52
ag 0.146
ag 0.1
ag 0.147
ag 0.149
ag 0.094
ag 0.125
ag 0.05
ag 0.03
ag 0.1
ag 0.174
ag 0.1
ag 0.129
ag 0.635
ag 0.676
ag 0.669
ag 0.666
ag 0.153
ag 0.25
urban 0.127
urban 0.249
urban 0.373
urban 0.249
urban 0.125
urban 0.1
urban 0.117
urban 0.087
urban 0.34
urban 0.1
urban 0.299
urban 0.05
urban 0.309
urban 0.849
urban 0.287
urban 0.055
urban 0.163
urban 0.256
urban 0.113
urban 0.05
urban 0.276
urban 0.122
urban 0.313
urban 0.351
urban 0.046
urban 0.03
urban 0.118
urban 0.114
urban 0.14
urban 0.088
