rod segment lane location width
1 1 1 1 2.83
1 1 1 2 1.15
1 1 1 3 1.74
1 1 2 1 5.62
1 1 2 2 2.01
1 1 2 3 3.32
1 2 1 1 1.57
1 2 1 2 0.53
1 2 1 3 1.02
1 2 2 1 3.04
1 2 2 2 0.96
1 2 2 3 1.65
1 3 1 1 1.76
1 3 1 2 0.76
1 3 1 3 1.19
1 3 2 1 3.06
1 3 2 2 1.24
1 3 2 3 2.55
2 1 1 1 14.79
2 1 1 2 6.22
2 1 1 3 11.22
2 1 2 1 20.59
2 1 2 2 8.78
2 1 2 3 15.29
2 2 1 1 8.77
2 2 1 2 3.61
2 2 1 3 5.81
2 2 2 1 20.29
2 2 2 2 6.77
2 2 2 3 12.26
2 3 1 1 5.76
2 3 1 2 2.52
2 3 1 3 3.22
2 3 2 1 13.63
2 3 2 2 4.2
2 3 2 3 7.74
3 1 1 1 4.93
3 1 1 2 1.73
3 1 1 3 3.73
3 1 2 1 10.76
3 1 2 2 2.99
3 1 2 3 6.01
3 2 1 1 5.15
3 2 1 2 1.97
3 2 1 3 3.05
3 2 2 1 8.09
3 2 2 2 3.36
3 2 2 3 5.54
3 3 1 1 3.03
3 3 1 2 1.13
3 3 1 3 2.42
3 3 2 1 5.2
3 3 2 2 2.25
3 3 2 3 4.29
