RandDiff RandRatio BootDiff BootRatio
-1.647 0.6455 7.15 3.64
-4.267 0.28   4.15 2.89
2.769  2.132  7.556 8.437
1.001 1.301 4.897 3.810
-3.193 0.4107 7.17 4.67
3.223 2.46 4.485 3.839
2.895 2.22 5.352 5.104
-4.365 0.273 -6.505 0.1615
1.327 1.420 5.603 6.764
-0.87 0.977 3.04 2.813
-3.924 0.319 1.45 2.475
0.415 0.897 6.741 4.879
2.719 2.104 2.188 1.637 
2.346 1.885 6.880 5.310
-3.105 0.422 3.317 2.564
-2.795 0.4645 -2.871 0.311
2.725 2.1077 4.467 3.960
1.355 1.431 8.049 8.264
2.953 2.258 -4.058 0.304
4.255 3.510 5.801  4.100
1.603 1.531 -7.451 0.225
1.131 1.347 -1.303 0.709
2.711 2.100 6.515 4.570
1.871 1.648 4.486 3.080
1.075 1.343 1.768 1.957
0.297 2.19 1.08 2.61
0.542 1.18 3.132 2.95
4.267 0.284 2.833 0.414
-0.632 0.864 4.95 6.76
-1.873 0.606 -0.339 0.896
-0.581 0.859 4.976 6.021
0.847 1.249 -2.163 0.444
-4.069 0.305 3.087 3.845
-3.919 0.32 4.496 3.257
7.198 4.808 4.152 3.289


