product rawmat  energy  deprec  labor
 33345  2471.5  1345860  318.1  248.1
 40602  2419.9  1513043  498.7  289.0
 35470  1987.8  1411609  445.0  240.1
 38218  2267.8  1498083  449.1  274.9
 40924  2100.9  1520679  508.7  257.6
 14720   805.1   618344  181.8  219.8
 36270  2894.5  1254715  468.3  259.1
 40444  2960.8  1530928  355.6  265.4
 41558  2597.3  1487396  484.6  263.5
 35326  2103.2  1420387  434.8  258.9
 39580  2590.2  1499597  470.9  280.2
 37921  2178.1  1510767  451.3  266.3
 33024  2721.3  1312095  260.2  270.9
 38792  1501.9  1546323  485.9  307.9
 35336  1879.4  1349725  472.1  257.8
 38292  2752.5  1362021  461.0  292.6
  6202   557.4   204830   74.8  192.2
 12851   965.8   553613  152.8  198.6
 40000  1652.9  1446071  472.6  275.1
 39928  2114.1  1408468  480.7  281.7
 40332  1708.6  1493036  484.2  277.4
 38458  1843.3  1378375  466.0  271.0
 32657  1528.0  1128350  391.4  260.4
 39771  1841.2  1416585  475.7  266.8
 26059  1270.9  1046151  329.7  215.5
