x1 x2 x3 x4 y
0.01 1.039 -3.25 -3.148 -5.291
0.075 2.554 1.574 1.848 6.937
0.124 7.947 -3.364 -3.013 1.279
0.183 0.312 -3.026 -2.597 -0.425
0.011 -2.035 0.611 0.714 7.477
0.006 -4.425 1.767 1.843 1.037
0.048 2.204 0.576 0.794 0.422
0.001 -0.799 -1.674 -1.637 -3.785
0.026 -10.597 0.666 0.828 -13.528
0.129 0.327 0.197 0.555 2.505
0.033 -2.161 1.899 2.082 0.213
0.003 4.443 -1.462 -1.411 -5.659
0.026 4.575 -0.797 -0.637 -5.236
0.224 5.619 -1.588 -1.114 2.29
0.046 6.603 0.08 0.294 4.539
0.017 -8.184 -0.013 0.116 -5.552
0.245 -6.039 2.97 3.464 -9.907
0.2 1.337 1.619 2.066 -2.819
0.001 2.744 3.181 3.217 6.473
0.102 -5.437 -3.955 -3.635 -6.089
0.041 -0.853 0.298 0.501 -0.936
0.124 -3.502 -6.814 -6.462 -12.47
0.024 -0.559 0.064 0.218 -0.957
0.049 0.585 -0.924 -0.702 -3.245
0.014 -5.399 -2.446 -2.326 -11.759
0.008 2.525 -1.381 -1.291 -8.078
0.067 -7.966 0.648 0.908 -8.032
0.011 -2.659 1.534 1.639 1.602
0.007 -0.119 -1.648 -1.567 -7.308
0.123 -5.066 -0.805 -0.455 -5.475
0.268 5.046 1.965 2.482 2.125
0.02 0.065 1.047 1.188 5.549
4.215 1.16 4.11 6.163 18.216
0.004 -3.603 -3.499 -3.439 -11.061
0.004 -3.573 -1.735 -1.672 2.229
1.796 -2.004 1.546 2.886 3.395
0.004 4.144 2.362 2.425 8.427
0.955 9.913 1.107 2.084 18.199
8.202 11.772 2.842 5.706 34.234
0.016 0.291 -2.393 -2.266 -4.295
0.087 5.761 -2.518 -2.223 -0.926
0.024 1.29 0.866 1.021 6.155
0.008 -1.766 2.37 2.46 1.004
0.057 -6.018 1.841 2.081 -5.261
0.296 -2.129 -0.306 0.238 -0.573
0.268 -7.378 0.217 0.734 -5.447
1.855 10.401 -1.054 0.308 12.552
0.134 -5.177 -0.362 0.004 -9.07
0.063 -3.954 -0.894 -0.642 -4.889
0.002 5.275 3.411 3.46 5.397
