reinforce   isolation   score
  none         20         26
  none         20         23
  none         20         28
  none         20         19
  none         20         18
  none         20         25
  none         40         30
  none         40         25
  none         40         27
  none         40         36
  none         40         28
  none         40         24
  none         60          6
  none         60         11
  none         60         17
  none         60         10
  none         60         14
  none         60         19
  verbal       20         15
  verbal       20         16
  verbal       20         24
  verbal       20         22
  verbal       20         21
  verbal       20         25
  verbal       40         24
  verbal       40         26
  verbal       40         29
  verbal       40         27
  verbal       40         23
  verbal       40         21
  verbal       60         31
  verbal       60         38
  verbal       60         29
  verbal       60         34
  verbal       60         35
  verbal       60         30
