person machine resist
1 1 500
1 2 400
1 3 98
1 4 200
1 5 250
2 1 660
2 2 600
2 3 600
2 4 75
2 5 310
3 1 250
3 2 370
3 3 220
3 4 250
3 5 220
4 1 72
4 2 140
4 3 240
4 4 33
4 5 54
5 1 135
5 2 300
5 3 450
5 4 430
5 5 70
6 1 27
6 2 84
6 3 135
6 4 190
6 5 180
7 1 100
7 2 50
7 3 82
7 4 73
7 5 78
8 1 105
8 2 180
8 3 32
8 4 58
8 5 32
9 1 90
9 2 180
9 3 220
9 4 34
9 5 64
10 1 200
10 2 290
10 3 320
10 4 280
10 5 135
11 1 15
11 2 45
11 3 75
11 4 88
11 5 80
12 1 160
12 2 200
12 3 300
12 4 300
12 5 220
13 1 250
13 2 400
13 3 50
13 4 50
13 5 92
14 1 170
14 2 310
14 3 230
14 4 20
14 5 150
15 1 66
15 2 1000
15 3 1050
15 4 280
15 5 220
16 1 107
16 2 48
16 3 26
16 4 45
16 5 51
