density gain
0.686 17.7
0.686 21.3
0.686 27.9
0.686 13.5
0.686 13.2
0.686 17.8
0.686 12.6
0.686 14.7
0.686 19.2
0.686 16.6
0.604 39.1
0.604 31.7
0.604 30.2
0.604 21.4
0.604 21.3
0.604 27.1
0.604 31.6
0.604 33.8
0.604 23.7
0.604 32.6
0.508 48.0
0.508 40.4
0.508 35.6
0.508 32.5
0.508 47.7
0.508 70.0
0.508 36.9
0.508 42.8
0.508 45.2
0.508 54.2
0.412 71.0
0.412 56.2
0.412 48.9
0.412 48.5
0.412 30.8
0.412 79.5
0.412 67.9
0.412 40.9
0.412 67.7
0.412 65.1
0.318 87.1
0.318 104.5
0.318 116.9
0.318 112.9
0.318 92.0
0.318 81.6
0.318 120.2
0.318 117.0
0.318 94.5
0.318 47.5
0.223 160.6
0.223 158.7
0.223 137.6
0.223 155.8
0.223 67.9
0.223 138.6
0.223 133.9
0.223 157.4
0.223 184.8
0.223 160.6
0.148 244.3
0.148 258.5
0.148 222.9
0.148 197.8
0.148 226.5
0.148 197.1
0.148 126.8
0.148 270.4
0.148 294.3
0.148 233.1
0.08 500.9
0.08 310.1
0.08 413.7
0.08 255.8
0.08 327.1
0.08 341.7
0.08 238.2
0.08 377.3
0.08 370.0
0.08 346.0
0.001 473.9
0.001 397.1
0.001 499.9
0.001 505.8
0.001 478.1
0.001 468.0
0.001 460.1
0.001 280.0
0.001 307.5
0.001 524.8
