state increase fatalitieschange
Alaska no -29
Connecticut no -4.4
Dist.ofColumbia no -80
Hawaii no -25
Indiana no -13.2
Kentucky no 3.4
Louisiana no -5.4
Maine no -14.3
Minnesota no 10.8
NewHampshire no -20
NewJersey no 44.1
NewYork no -9.7
NorthDakota no -50
Oregon no -16.4
SouthCarolina no 32.1
Vermont no -41.2
Virginia no -9.1
WestVirginia no 23.2
Wisconsin no 41.4
Arizona Yes 0
California Yes 4.4
Delaware Yes 30
Illinois Yes 9.4
Massachusetts Yes 33.3
Montana Yes 17.9
Nevada Yes 17.9
Oklahoma Yes 34.1
Pennsylvania Yes -7
Texas Yes 14.8
Wyoming Yes -31.5
Alabama Yes 24.5
Arkansas Yes 41.3
Colorado Yes -19.1
Florida Yes 8.2
Georgia Yes 32.1
Idaho Yes -17.9
Iowa Yes 41.4
Kansas Yes -13.3
Maryland Yes -1.8
Michigan Yes -7.9
Mississippi Yes 17.6
Missouri Yes 50.7
Nebraska Yes 62.5
NewMexico Yes 3.4
NorthCarolina Yes 5.4
Ohio Yes 1.6
RhodeIsland Yes 18.2
SouthDakota Yes 22.2
Tennessee Yes 4
Utah Yes 9.4
Washington Yes 34.3
