location type dist
1 undist 18.9
1 undist 15.5
1 undist 16.7
1 ag 23.2
1 ag 19
1 ag 19.1
1 urban 22.6
1 urban 21.1
1 urban 19.8
2 undist 37.1
2 undist 31.7
2 undist 41.4
2 ag 40.3
2 ag 46.9
2 ag 37
2 urban 32.3
2 urban 49.8
2 urban 27.9
3 undist 56
3 undist 70.9
3 undist 65.3
3 ag 95.8
3 ag 88.4
3 ag 80.5
3 urban 106.4
3 urban 56.7
3 urban 47.6
4 undist 212.9
4 undist 240.6
4 undist 271.4
4 ag 360.5
4 ag 408.5
4 ag 349.7
4 urban 237.3
4 urban 395.1
4 urban 313.8
5 undist 56.4
5 undist 54.9
5 undist 72.6
5 ag 53.8
5 ag 65.2
5 ag 68.1
5 urban 53.6
5 urban 71.3
5 urban 50.5
6 undist 49.6
6 undist 33.3
6 undist 35.1
6 ag 42.3
6 ag 48.4
6 ag 46
6 urban 42.5
6 urban 51.4
6 urban 45.6
7 undist 23.7
7 undist 24.5
7 undist 30.4
7 ag 26.8
7 ag 30
7 ag 35.3
7 urban 31
7 urban 31
7 urban 29.4
8 undist 93.8
8 undist 72.9
8 undist 103.3
8 ag 89
8 ag 119.1
8 ag 103.2
8 urban 82.5
8 urban 102
8 urban 102
